sigla,cidade,pontuacao
SBPC,POÇOS DE CALDAS,0.2627065488160953
SBZM,GOIANÁ,0.25719210858223973
SSCK,CONCÓRDIA,0.25295344879887127
SWIQ,MINAÇU,0.24981699679919983
SNDT,DIAMANTINA,0.24730720657316851
SBDO,DOURADOS,0.24426437246438584
SBCM,FORQUILHINHA,0.24034390270244335
SBUG,URUGUAIANA,0.23945491727354243
SBTU,TUCURUÍ,0.23922509029216604
SBCD,CAÇADOR,0.23734139970620166
SWLB,LÁBREA,0.2372224205326347
SWLC,RIO VERDE,0.23528311145782937
SBMC,MINAÇU,0.23241067064591336
SJTC,AREALVA,0.22123153977736368
SBCB,CABO FRIO,0.21701935971796052
SWDE,SÃO MIGUEL DO ARAGUAIA,0.2093762752816304
SNFX,SÃO FÉLIX DO XINGU,0.20709942170869916
SWBR,BORBA,0.20328697074869526
SWUQ,ALTO ALEGRE,0.20326710421068134
SNJR,SÃO JOÃO DEL REI,0.19881445994251412
SBLJ,LAGES,0.19659183118055812
SWOB,FONTE BOA,0.19621953010828297
SDMC,MARICÁ,0.19364355492159008
SBDB,BONITO,0.19334137998521334
SWUY,COARI,0.19159459882357624
SNUI,ARAÇUAÍ,0.18923196461673805
SWTP,SANTA ISABEL DO RIO NEGRO,0.18920875649928356
SIZX,JUARA,0.18876609936960453
SSDO,DOURADOS,0.18649112772982332
SSOE,SÃO MIGUEL DO OESTE,0.18477867507976958
SBJA,JAGUARUNA,0.1846707435528515
SBRD,RONDONÓPOLIS,0.18361321527336258
SWVC,VILA RICA,0.18097757902251038
SWHG,SANTA HELENA DO GOIÁS,0.1809709620833019
SBTG,TRÊS LAGOAS,0.1800125069872593
SDSC,SÃO CARLOS,0.17683750509750093
SDRS,RESENDE,0.17369238562932884
SBTC,UNA,0.17260359616630014
SSZR,SANTA ROSA,0.17229472516337413
SNTO,TEÓFILO OTONI,0.16935081429946885
SBLE,LENÇÓIS,0.16886257366786597
SBBW,BARRA DO GARÇAS,0.16814148486446356
SWBU,PEIXOTO DE AZEVEDO,0.16675710658726076
SWGP,PALMEIRAS DE GOIÁS,0.16587873577633444
SWJI,JI-PARANÁ,0.1655905785810319
SNTF,TEIXEIRA DE FREITAS,0.16527983314808806
SNOX,ORIXIMINÁ,0.1651850516624108
SSTL,TRÊS LAGOAS,0.16413228821838857
SDCO,SOROCABA,0.16359977494416855
SNPJ,PATROCÍNIO,0.1619110158318108
SBMS,MOSSORÓ,0.16055005288471874
SNYA,ALMEIRIM,0.1598446129314653
SBUF,PAULO AFONSO,0.15891970637530903
SSFB,FRANCISCO BELTRÃO,0.15838123410903787
SBLP,BOM JESUS DA LAPA,0.1579269557383669
SWMW,MAUÉS,0.15730627992070373
SBTR,TORRES,0.1562248291927063
SBMY,MANICORÉ,0.15614027453757448
SBJD,JUNDIAÍ,0.15578321724351557
SBGP,GAVIÃO PEIXOTO,0.15562127952541685
SWAE,ALTO ALEGRE,0.15551026865280876
SNVB,VALENÇA,0.1548210631041002
SBPB,PARNAÍBA,0.15480293882501428
SWBV,AMAJARI,0.1535514671274257
SDZY,JUIZ DE FORA/UBÁ/CATAGUASES,0.15345118137720423
SNDV,DIVINÓPOLIS,0.15342643455569488
SWQR,BOA VISTA,0.15321805739404798
SBPN,PORTO NACIONAL,0.15287817823732444
SNRU,CARUARU,0.15282328400498954
SIMK,FRANCA,0.1525438300614951
SBRG,RIO GRANDE,0.15246008228787106
SBAQ,ARARAQUARA,0.15217998036287103
SBBG,BAGÉ,0.15191686772268445
SNBA,BARRETOS,0.15172950148062228
SSPB,PATO BRANCO,0.15156783853071826
SWYY,NOVA XAVANTINA,0.1513830077736714
SDTK,PARATI,0.15127230028042787
SBBQ,BARBACENA,0.15125558077199627
